Topic,Count,Name,Representation,Representative_Docs
-1,160,-1_model_data_llm_domain,"['model', 'data', 'llm', 'domain', 'finance', 'financial', 'analysis', 'method', 'framework', 'task']","['traditional model nlp require considerable amount labeled example always available data limited domain like banking model llm known perform effectively shot domain example per class however open source instruction tuned llm compare closed source llm modern shot approach like contrastive data constrained case explored additionally understanding performance cost trade offs method well consideration infrastructure resource limited setting optimal usage smaller version llm parameter critical concern budget limited organization studied comprehensively work address gap studying aforementioned approach banking financial intent detection dataset including evaluation comparison cutting edge llm meta google mistral openai anthropic comprehensive set shot scenario include example selected human expert well cost effective querying retrieval augmented generation rag observed smaller open source llm able perform larger closedsource one effective prompt rag moreover offer significantly better performance cost ratio larger closedsource counterpart also experiment data augmentation llm generate artificial labeled example able improve performance slightly data scarce scenario finally explored benefit fine tuning three parameter efficient method propose bai fintent fine tuned mistral performs approach customer banking intent identification', 'series data central decision making financial market yet building performing interpretable auditable model remains major challenge automated machine automl framework streamline model development often lack adaptability responsiveness domain specific need evolving objective concurrently model llm enabled agentic system capable reasoning memory management dynamic code generation offering path toward flexible workflow automation introduce agent modular agentic framework designed automate enhance series modeling workflow financial application agent formalizes pipeline structured iterative decision process across three stage model selection code refinement fine tuning guided contextual reasoning experimental feedback central architecture planner agent equipped structured bank curated library model refinement strategy guide exploration improving interpretability reducing error propagation agent support adaptive robust debugging transparent auditing key requirement stake environment financial service empirical evaluation diverse financial forecasting synthetic data generation task demonstrate agent consistently outperforms state art automl agentic baseline achieving superior accuracy robustness decision traceability', 'series forecasting play crucial role domain finance healthcare climate science however modern series data become increasingly complex featuring dimensionality intricate spatiotemporal dependency multi scale evolutionary pattern traditional analytical method existing predictive model face significant challenge although model llm excel capturing long range dependency still struggle multi scale dynamic seasonal pattern moreover llm semantic representation capability rich often lack explicit alignment numerical pattern temporal structure series data leading limitation predictive accuracy interpretability address challenge proposes novel framework stem lts semantic temporal modeling scale series stem lts enhances ability capture complex spatiotemporal dependency integrating series decomposition technique modeling semantic temporal alignment mechanism within framework significantly improves llm ability interpret forecast series data additionally develop adaptive multi strategy optimize model performance across multiple dimension extensive experiment real world datasets demonstrate stem lts achieves significant improvement prediction accuracy robustness noise interpretability work advance series analysis also offer new perspective handling complex temporal data']"
0,110,0_generative_financial_data_technology,"['generative', 'financial', 'data', 'technology', 'finance', 'model', 'intelligence', 'industry', 'human', 'artificial']","['discusses transformative impact emerging digital technology digital transformation financial industry focusing integrating generative genai humanoid robot metaverse within framework industry industry emphasizes human centric technology human collaboration play central role reshaping financial service reviewing academic practical application highlight current advancement fintech particularly technology metaverse future potential demonstrating innovation driving growth efficiency resilience financial sector proposes three phase framework aimed addressing technological legal ethical challenge associated digital transformation framework focus key issue stability security data privacy equitable access digital financial service ultimately argues integration advanced digital technology human expertise sustainable practice potential revolutionize global financial ecosystem fostering adaptive secure equitable industry future', 'past several decade amazing technology advance artificial intelligence big data machine achieved witnessed play vital role digital transformation process sector especially within domain finance review fintech financial service sector analyzing machine big data analytics fintech technique deployed improve decision making credit scoring risk management portfolio management market prediction improve efficiency reduce cost enhancing customer experience engagement synthesizes recent advancement along evolution fintech financial sector summarizes technique used explore common area technique discusses potential challenge brings human highlight reshaping landscape financial industry academic regulator financial institution fintech company need leverage benefit addressing potential risk problem brings whole society economy', 'generative artificial intelligence genai rapidly redefining landscape work organization society genai rapidly evolved rule symbolic system ofthe advanced deep architecture capable producing human like content across modality text image audio video review focus current emerging trend concept model critical comparison tool including chatgpt gemini claude synthesizes evidence genai essential role across major industry revealing transformative application finance cloud healthcare education energy sector also highlight unique opportunity genai offer start ups enabling agile project leverage cutting edge technology competitive advantage however deployment genai system edge device also raise critical challenge related ethic transparency bias accountability computational issue many address complexity examines emerging approach agent agentic multi agent system aim extend functionality genai autonomy goal directed behavior collaborative intelligence discovers novel incorporation agentic architecture babyagi discusses emerging issue coordination hallucination security risk finding reveal persistent challenge related scalability interpretability regulatory compliance identifying future direction toward developing sophisticated ethical accessible genai system continue reshape technological landscape societal interaction systematic review informs researcher academician data scientist developer latest advancement genai highlight application role across industry well supporting practitioner scholar staying current rapidly evolving landscape generative technology']"
1,92,1_question_chatgpt_medical_performance,"['question', 'chatgpt', 'medical', 'performance', 'accuracy', 'clinical', 'examination', 'model', 'llm', 'answer']","['background artificial intelligence potential dramatically alter health care enhancing diagnose treat disease one promising artificial intelligence model chatgpt general purpose model trained openai chatgpt shown human level performance several professional academic benchmark sought evaluate performance surgical question assess stability performance repeat query method evaluated performance chatgpt question surgical council resident education question bank second commonly used surgical assessment referred data question entered format open ended multiple choice chatgpt output assessed accuracy insight surgeon evaluator categorized reason model error stability performance repeat query result total surgical council resident education data question presented chatgpt interface chatgpt correctly answered multiple choice open ended question surgical council resident education data respectively open ended multiple choice question approximately two third chatgpt response contained nonobvious insight common reason incorrect response included inaccurate information complex question inaccurate information fact question accurate information circumstantial discrepancy upon repeat query answer selected chatgpt varied question answered incorrectly first query response accuracy changed question conclusion consistent finding academic professional domain demonstrate near human level performance chatgpt surgical question widely used question bank chatgpt performed better multiple choice open ended question prompting question regarding potential clinical unique demonstrate inconsistency chatgpt response repeat query finding warrant future consideration including effort training model safe consistent response required clinical despite near human level performance question bank given observation unclear whether model chatgpt able safely assist clinician providing care', 'background objective interest surrounding generative model llm rapidly grown although chatgpt general shown near passing performance medical student board examination performance chatgpt successor specialized examination factor affecting accuracy remain unclear aim assess performance chatgpt question mock neurosurgical written board examination method self assessment neurosurgery examination sans american board neurological surgery self assessment examination used evaluate chatgpt question single best answer multiple choice format chi fisher exact univariable logistic regression test used assess performance difference relation question characteristic result chatgpt achieved score respectively relative user average llm exceeded last year passing threshold although score chatgpt question bank user equivalent outperformed answered every question answered correctly chatgpt remaining incorrect question correctly among question category significantly outperformed user performed comparably chatgpt functional general spine outperformed user chatgpt tumor question increased word count odds ratio answering question correctly per word higher order problem solving odds ratio associated lower accuracy chatgpt multimodal input available hence question image content chatgpt answered question correctly contextual clue alone conclusion llm achieved passing score mock question neurosurgical written board examination significantly outperforming chatgpt', 'importance chatgpt artificial intelligence chatbot significant societal implication training curriculum developed medicine performance chatbots ophthalmology characterized objective assess performance chatgpt answering practice question board certification ophthalmology design setting participantsthis cross sectional used consecutive sample text multiple choice question provided ophthoquestions practice question bank board certification examination preparation available multiple choice question text exposure chatgpt answered question january february main outcome measure primary outcome number board certification examination practice question chatgpt answered correctly secondary outcome proportion question chatgpt provided additional explanation mean length question response provided chatgpt performance chatgpt answering question without multiple choice option change performance result january chatgpt correctly answered question chatgpt performance best category general medicine poorest retina vitreous proportion question chatgpt provided additional explanation similar question answered correctly incorrectly difference mean length question similar question answered correctly incorrectly difference character mean length response similar question answered correctly incorrectly difference character chatgpt selected multiple choice response common answer provided ophthalmology trainee ophthoquestions february chatgpt provided correct response multiple choice question stand alone question without multiple choice option conclusion relevance chatgpt answered approximately half question correctly ophthoquestions free trial ophthalmic board certification preparation medical professional trainee appreciate advance medicine acknowledging chatgpt used investigation answer sufficient multiple choice question correctly substantial assistance preparing board certification']"
2,41,2_sentiment_market_financial_model,"['sentiment', 'market', 'financial', 'model', 'trading', 'analysis', 'data', 'llm', 'news', 'sentiment analysis']","['financial sentiment analysis fsa aim infer sentiment financial text news commentary helping investor make accurate judgment market trend accurately inferring positive negative sentiment important investment decision made fintech company investor however current fsa model still face two critical challenge limited modeling pivotal keywords internal representation financial text remains constrained existing model fail explicitly model sentiment critical keywords dominate sentiment judgment neglect external external related background sentiment caption sentiment reason overlooked resulting poor performance ambiguous sentiment scenario address issue propose expert level fsa internal external financial chain fusion termed fsaexpert includes three main component first extract word level sentence level semantic embeddings combine interaction mechanism learnable top word selector select word critical sentiment judgment perform cross grained semantic fusion construct quality internal representation leverage powerful generate background sentiment caption sentiment reason related constructing external representation aid sentiment understanding progressively fuse three type external internal representation chain like structure guiding model shallow background understanding deep sentiment reasoning ultimately improving sentiment classification accuracy note three type external chain like fusion inspired human cognitive process experimental result three benchmarking datasets including fiqa sentfin financialphrasebank datasets show fsaexpert significantly outperforms baseline model achieving interpretable accurate fsa', 'sentiment analysis become indispensable tool across domain including political communication marketing analytics finance financial sector sentiment confidence fear play pivotal role shaping market dynamic influencing supply demand precipitating significant price fluctuation timely extraction sentiment source like financial news article social medium post crucial devising informed investment strategy despite importance current approach sentiment analysis finance fully harnessed potential emerging technology model llm quantum computing model cutting edge technology demonstrated remarkable success area natural processing nlp financial sentiment analysis remains limited aim bridge gap introducing novel quantum model text representation specifically designed financial domain integrates quantum representation vector representation generated pre trained specialized finance resulting fusion two representation yield comprehensive input leading significant enhancement accuracy sentiment analysis evaluate extensive experimental test publicly available dataset demonstrate quantum outperforms state art model widely recognized financial sentiment analysis benchmark result highlight potential integrating quantum computing principle traditional nlp method accurate effective sentiment analysis finance', 'recent advancement model llm demonstrated potential significantly impact finance trading particularly sentiment analysis cryptocurrency market known volatility unpredictability often render price trading approach inadequate necessitates adoption sophisticated technique market sentiment analysis benefit insight provided llm introduces innovative integrates sentiment analysis derived five distinct llm deep reinforcement devise cryptocurrency trading strategy recognizing output cannot guaranteed infallibly accurate contributing hallucination detail implementation stringent outlier detection removal process adopting trust majority strategy aim ensure trading decision informed reliable sentiment data addition sentiment score traditionally timestamped publication news social medium post accurately reflect actual impact information market sentiment applies ebbinghaus forgetting curve model waning influence information allows nuanced understanding news affect market dynamic enhanced sentiment score conjunction traditional market data ohlcv open low close volume utilized deep reinforcement model make trading decision experimental result demonstrate proposed multi sentiment driven framework improves trading performance fast paced cryptocurrency market methodology outlined offer solid foundation incorporating real market sentiment analysis financial application']"
3,40,3_privacy_security_data_attack,"['privacy', 'security', 'data', 'attack', 'vulnerability', 'model', 'threat', 'agent', 'usepackage', 'detection']","['model llm widely adopted different domain including education healthcare finance healthcare domain llm used disease diagnosis abnormality classification remedy suggestion etc multi abnormality classification radiology report essential healthcare medical decision making drug discovery llm increasingly utilized task remarkable natural processing nlp capability streamline medical report processing reduce administrative burden enhance predictive accuracy llm often fine tuned private locally available datasets medical report however practice raise significant privacy concern llm prone memorizing training data making susceptible data extraction attack even query access additionally sharing fine tuned model weight pose adversarial risk may inadvertently reveal sensitive information training data despite growing llm medical text classification privacy preserving fine tuning multi abnormality classification remains underexplored bridge gap propose differentially private fine tuning preserve privacy enabling multi abnormality classification text radiology report low rank adaptation lora framework leverage optimization technique fine tune llm local patient data mitigating data leakage risk first incorporate fine tuning llm multi abnormality classification text radiology report used label generated larger fine tune smaller accelerating inference maintaining privacy constraint conducted extensive experiment mimic cxr rate datasets evaluate fine tuning across varying privacy regime analyzing privacy utility trade demonstrating efficacy instance mimic cxr dataset proposed lora framework achieves weighted score moderate privacy budget epsilon approaching performance non private lora full fine tuning result demonstrate strong privacy protection achieved moderate performance degradation', 'technology rapid advancement led widespread adoption diverse industry support agent healthcare education software development finance technology ability generated human like text solve complex user problem nevertheless effectiveness success model greatly depends model contain extensive varied top notch datasets social network platform training evaluation purpose sourced web directly form user interaction also contain sensitive information however power capability progress raised significant concern related data security privacy particularly regarding protection user data including social network training deployment phase model process generate huge amount data potential unintentionally memorise repeat personal sensitive information like location data social security number phone number shared user lead pose risk data leaking degrade accuracy model training information perform comprehensive systematic review examine fundamental principle model particularly concentration data privacy concern associated model training data potential bias furthermore analysis evaluated current level vulnerability privacy challenge examine new security privacy attack targeting llm cause misuse information leakage additionally proposed set best practice aimed protect user data recognising significance conducting protecting privacy improving security crucial ensures continuous progress public trust technology', 'artificial intelligence technique applied numerous application healthcare cyber security finance example machine algorithm applied solve security problem malware analysis insider threat detection however many challenge applying algorithm application example algorithm may violate privacy individual gather massive amount data apply algorithm data extract highly sensitive information algorithm may show bias unfair segment population iii algorithm may attacked possibly resulting catastrophic error including cyber physical system transportation system finally algorithm must safe harm society therefore algorithm applied transportation system handling congestion preventing accident giving advice driver must ensure secure ensure privacy fairness well safe operation transportation system technique generative genai also applied secure system design also determine attack potential solution presentation divided two part first describe past decade trustworthy system system secure well ensure privacy fairness safety discus ensemble model detecting attack well developing adversarial machine technique also discus securing internet transportation system traditional method extended kalman filter detect cyberattacks second second discus work finally discus recently started part usdot national university technology center tracr transportation cybersecurity resiliency led clemson university particular describe federated machine technique detecting attack transportation system publishing synthetic transportation data set preserve privacy iii fairness algorithm transportation system examining genai system integrated transportation system security focus includes following center dot data privacy designing privacy aware policybased data management framework transportation system work involves collecting requisite data developing analysis tool identify quantify privacy risk existing privacy preserving differentially private synthetic data generation technique tailor data utility generic accuracy well suited specific application developing synthetic data generation tool transportation system application develop new algorithm leverage datasets center dot fairness developed novel adaptive fairnessaware online meta algorithm fairsaoml adapts changing environment bias control model precision current work focusing adapting framework fairness transportation system control bias especially ensure group fairness across different protected sub population identifying interesting attribute explainable technique might help mitigate bias develop equitable algorithm also developed second system fairdolce recognizes object involving fairness constraint changing environment adapting transportation application example pedestrian detection whether object seen pedestrian must fair respect race gender individual detected changing environment rainy cloudy sunny adversarial prior work adversarial model worked traditional datasets network traffic data current focus adapting sensor data model applied sensor data object recognition traffic management model may attacked adversary attack model investigate way interaction may occur model adversary subsequently develop appropriate adversarial model operate sensor data center dot attack detection smart vehicle often exposed attack making difficult manufacturer collaboratively train anomaly attack detection model yet would ideal data available across manufacturer could used building robust attack detection system achieve developed fastsv incorporates federated conjunction augmentation technique build highly performant attack detection system smart car safety safety studied cyber physical system formal method applied specify safety property subsequently verify system satisfies specification however goal ensure algorithm utilized transportation system safe would involve developing governance framework would require transparency explainability among others algorithm utilized transportation system']"
4,22,4_contract_blockchain_defi_smart contract,"['contract', 'blockchain', 'defi', 'smart contract', 'smart', 'vulnerability', 'decentralized', 'transaction', 'detection', 'security']","['rampant scam plague decentralized finance defi project creating defi credibility problem limit impact defi advance availability variety financial service present novel solution defi credibility problem developing multi model generates trustscore rating defi project clear explanation score generate defi project trustscore aggregating multiple factor defi investor holistic view defi project trustworthiness rate defi project trustscore combine output four pipeline analyze smart contract code vulnerability suspicious transaction anomalous price change smart contract social medium scam sentiment applying four factor exponentially improves trust score accuracy single factor approach done historically two factor anomalous price change social medium sentiment used detect defi fraud furthermore enhanced critical factor smart contract code vulnerability detection latest model llm system multi model composed trustscore explainer aggregate individual pipeline result fine tuned model audit smart contract code prophet forecasting tool finbert tailored financial natural processing nlp xgboost classification proposed identifies significant proportion known fraudulent defi project generates accurate explained trustscore thus address defi credibility problem investor make reliable decision defi project', 'decentralized finance defi built blockchain grows rapidly security smart contract underpinning defi become major concern due exploit leading billion damage although tool exist automated vulnerability detection smart contract study show vulnerability remain undetected work propose fine tuned model llm enhanced automated detection vulnerability smart contract collected labeled smart contract vulnerability fine tuned parameter llama model evaluation unseen function show promising precision predicting vulnerability category fine tuned demonstrates potential auxiliary tool identify vulnerable code assist auditor future work outlined improving performance via larger model higher quality data specialized binary detection model present promising preliminary result integrating llm smart contract analysis motivate intersection llm blockchain security', 'smart contract become foundational component blockchain system enabling decentralized transparent autonomous execution logic across domain including decentralized finance defi gaming digital identity due immutable trustless nature smart contract often manage transfer substantial amount asset without human intervention however vulnerability smart contract lead substantial financial loss among access control vulnerability particularly critical typically originating inadequately designed incorrectly implemented permission mechanism existing method detecting access control vulnerability static analysis heavily relies manually defined rule pattern matching method efficient identifying certain class known vulnerability inherently limited scope generalization particular often fail capture underlying business logic smart contract propose multi agent system named actaint detecting access control vulnerability solidity smart contract actaint first performs static analysis guide sink agent identifying potential sink identified sink taint agent conduct taint analysis determine whether data flow exists untrusted source sink evaluate three datasets known cve case set real world smart contract another set real world smart contract result demonstrate outperforms existing tool datasets first dataset outperforms state art tool including achecker gptlens achieving higher recall score second dataset surpasses leading static analysis tool achecker improvement precision improvement score']"
5,20,5_retrieval_rag_domain_generation,"['retrieval', 'rag', 'domain', 'generation', 'augmented', 'document', 'retrieval augmented', 'benchmark', 'domain specific', 'augmented generation']","['rapid advancement intelligent retrieval technology retrieval augmented generation rag question answering system emerged mainstream solution however conventional rag system constrained inherent limitation localized base resulting suboptimal timeliness shortcoming may compromise reliability answer generated model llm potentially leading misleading output address challenge propose self correcting algorithm named web rag leverage multi round web retrieval algorithm first reconstructs base architecture sentencelevel rag optimization strategy fine tuned similarity label generation model precisely match query relevant snippet subsequently dynamic web retrieval routing mechanism designed adaptively determine retrieval round similarity label substantially improving efficiency online acquisition furthermore algorithm employ real retrieved web perform targeted correction outdated domain specific content local base refined quality integrated input llm enhance answer accuracy timeliness experiment conducted three baseline model qwen qwen chatgpt turbo three public benchmark datasets squad hotpotqa popqa well specialized chinese datasets finance legal medical domain result demonstrate web rag improves query similarity integration rag system significantly enhances performance intelligent system', 'objective model llm necessitate quality question answer datasets finetuning evaluation current resource constrained limited scale diversity structured annotation scarcity especially pronounced business management utd journal domain like accounting finance marketing strategy operation domain specific datasets rare beyond finance focused one method bridge gap present raqag retrieval augmented question answer generation framework construct datasets closed loop process involving data synthesis quality verification feedback optimization raqag consists three core module data preprocessing generation evaluation generation module utilizes dynamic retrieval augmented generation incorporating three tier retrieval strategy semantic vector search retrieval bge reranker support dynamic paragraph segmentation enhance document grounding evaluation module employ racar multi dimensional evaluation framework rigorously defines five core dimension relevance agnosticism completeness accuracy reasonableness along dynamic indicator like evidence coverage novelty raqag present novel framework integrates llm closed loop process generating quality datasets raqag enables creation scale domain specific corpus utd includes instruction style pair derived article standardized multiple choice benchmark utd benchmark developed systematic evaluation llm business management finding experiment demonstrate raqag produce higher quality datasets achieving improvement racar score compared best existing baseline framework exhibit robust performance across varying input granularity hyperparameter setting engineering oriented qag system featuring metadata driven orchestration visualized pipeline validates effectiveness raqag source code publicly available http github com fakerfigure qag system git', 'accurate information retrieval critical financial domain investor must identify relevant information collection document traditional method whether sparse dense often fall short retrieval accuracy requires capturing semantic similarity also performing fine grained reasoning document structure domain specific recent advance model llm opened new opportunity retrieval multi step reasoning model rank passage iterative reasoning information relevant given query however exists benchmark evaluate capability financial domain address gap introduce finagentbench first largescale benchmark evaluating retrieval multi step reasoning finance setting term agentic retrieval benchmark consists expert annotated example listed firm assesses whether agent identify relevant document type among candidate pinpoint key passage within selected document evaluation framework explicitly separate two reasoning step address limitation design enables quantitative basis understanding retrieval centric behavior finance evaluate suite state art model demonstrated targeted fine tuning significantly improve agentic retrieval performance benchmark provides foundation studying retrieval centric behavior complex domain specific task finance']"
6,19,6_llm_test_api_domain,"['llm', 'test', 'api', 'domain', 'tool', 'model', 'apis', 'prompt', 'software', 'case']","['fintech software crucial safety timely market deployment present compelling case automated acceptance testing regulatory business rule however inherent challenge comprehending unstructured natural description rule crafting comprehensive test case demand human intelligence emergence model llm hold promise automated test case generation leveraging natural processing capability yet dependence human intervention effective prompting hamper efficiency response introduce groundbreaking fully automated generating coverage test case natural business rule methodology seamlessly integrates versatility llm predictability algorithmic method fine tune pre trained llm improved information extraction accuracy algorithmically generate comprehensive testable scenario extracted business rule prototype fin designed testing real world stock trading software experimental result demonstrate fin superiority state art chatgpt skilled testing engineer achieve remarkable performance average improvement business scenario coverage code coverage reducing cost minute mere second result robust evidence framework practical applicability efficiency marking significant advancement fintech software testing', 'rapid advancement model llm exemplified openai series significantly impacted domain including natural processing software development education healthcare finance scientific however openai apis introduce unique challenge differ traditional apis complexity prompt engineering token cost management non deterministic output operation black box best challenge developer encounter openai apis explored previous empirical study fill gap conduct first comprehensive empirical analyzing openai api related discussion popular forum stack overflow first examine popularity difficulty post manually categorizing nine openai api related category identify specific challenge associated category topic modeling analysis analysis indicates api configuration issue fundamental barrier significantly impacting openai apis maintaining across multiple dialogue turn remains major challenge chat apis action api proving particularly difficult among nine api category moreover highlight core challenge many openai api integration technical stack compatibility arises factor api version upgrade deprecation mismatch development framework external service specific limitation inconsistent api behavior across different environment empirical finding finally propose actionable implication developer vendor researcher', 'present architecture agentic system autonomously operates manages complex workflow across enterprise industrial software ecosystem electronic design automation eda tool siemens calibre product lifecycle management plm digital twin platform teamcenter digital reality viewer well centric domain including analytics financial modeling healthcare diagnostics creative design platform architecture leverage multi agent framework orchestrated central planner integrating model vision model lvm reasoning multimodal understanding retrieval augmented generation rag pipeline enterprise grade governance enable secure explainable adaptive automation across physical virtual product lifecycle stage architecture structured nine layer intelligent stack beginning natural interface extending layer responsible cognitive orchestration specialized agent contextual retrieval reasoning tool execution security access control feedback driven user issue level intent run drc fix critical violation synchronize latest design update digital twin interpreted planner agent decomposed sub task executed specialized agent simulation review action agent interfacing securely industrial tool twin environment sandboxed runtimes version controlled apis multi agent framework employ structured communication pattern inspired blackboard model enabling reasoner executor validator agent coordinate shared semantic memory buffer emergent collaboration support decentralized problem solving resilient orchestration dynamic workload planner dynamically adjusts decomposition agent routing resource constraint latency budget model confidence enabling adaptive performance aware orchestration beyond industrial engineering case agentic architecture generalizes broader enterprise workflow finance autonomous agent extract insight structured unstructured data improve forecasting accuracy ensure regulatory compliance healthcare multimodal reasoning fuse text imagery sensor data assist clinician diagnosis treatment planning maintaining explainability creative design environment agentic pilot interpret user intent generate asset optimize iterative design loop enhancing productivity human creativity core rag layer ground decision proprietary engineering pdk rule fab specification simulation log historical twin data chunk reranker ensures relevant injected prompt rag pipeline support fast memory access pruning scalable grounding across volume log digital twin telemetry grounding layer extended domain contextual reasoning proprietary critical ranging clinical data repository enterprise erps document archive financial transaction graph support architecture adaptive orchestration multimodal agent execution performance optimized inference becomes critical meet latency throughput scalability demand scale multimodal reasoning system incorporates gpu accelerated inference pipeline including roi guided compression adaptive latentspace clustering reduce computational overhead preserving output fidelity gpu accelerated strategy roi lcc framework integrates dynamic region interest roi selection latent space clustering learned gpu feature extraction minimize redundancy streamline computation output processed guardrail explainability xai layer filter unsafe content validates decision generates structured audit trail system includes human loop hitl mechanism review impact real world synchronized action execution optimization originally developed validated nanometer resolution sem imagery exhibiting nanoscale noise low snr extreme visual detail enable robust throughput inference compute constrained scenario euv lithography biomedical diagnostics architecture integrated key product demonstrating readiness real world deployment precision critical industrial environment architecture support real telemetry bias drift detection data flywheel capture feedback performance metric continuously refine agent behavior prompt strategy model accuracy designed hybrid prem cloud deployment compliant rbac abac enterprise security policy system ensures scalability transparency governance continuity across industrial enterprise domain specific ecosystem design manufacturing financial analytics healthcare diagnostics operation creative content pipeline collectively capability position architecture generalized substrate enterprise scale intelligence orchestration automates workflow also augments human decision making improves analytical accuracy accelerates creativity across sector bridging cognitive reasoning multimodal perception secure execution unifying reasoning lvm orchestration gpu accelerated inference grounded retrieval digital twin synchronization tool integration enterprise governance within modular agentic framework system transforms traditional industrial software intelligent auditable self improving pilot accelerating design cycle enhancing reliability bridging gap virtual model physical system autonomous explainable decision orchestration optimization make architecture suitable deployment latency sensitive compute constrained industrial scenario including edge assisted digital twin environment throughput simulation workflow well driven enterprise system demand adaptive explainable human aligned intelligence']"
7,19,7_memory_pim_bank_dram,"['memory', 'pim', 'bank', 'dram', 'inference', 'processing', 'gemv', 'bandwidth', 'computation', 'model']","['deploying model llm edge device pose significant challenge due computational memory demand particular general matrix vector multiplication gemv key operation inference highly memory intensive making difficult accelerate conventional edge computing system processing memory pim architecture emerged promising solution challenge often suffer area overhead restricted computational precision proposes pimpal processing memory architecture parallel arithmetic lookup cost effective pim architecture leveraging lookup table lut computation gemv acceleration sllms small llm replacing traditional arithmetic operation parallel dram lut lookup pimpal significantly reduces area overhead maintaining performance pimpal introduces three key innovation divide dram bank subarrays compute block parallel lut processing employ locality aware compute mapping lcm reduce row activation maximizing lut access locality enables multi precision computation lut aggregation lag mechanism combine result multiple small luts experimental result show pimpal achieves higher performance previous lut pim design reduces area overhead compared conventional processing unit pim design', 'model llm prominent superior ability understanding generation however notorious problem inference low computational utilization caused memory bottleneck since typically requires memory capacity bandwidth process neural weight integrating processing core memory processing memory pim architecture excels alleviating memory bottleneck recent release first commodity near bank pim hardware nbp pim becomes shelf show great potential accelerating inference practically however simply shoehorning inference nbp achieve satisfactory performance due inherent limitation weak compute performance frequent cache miss caused limited working memory capacity poor inter pim core communication bandwidth address limitation propose efficient system deploying inference nbp hardware key idea build nbp aware lookup table luts completely replace multiplication lookup luts thereby mitigating limitation weak compute performance reduce model accuracy drop caused lut tailor lut construction maintain model accuracy cope frequent cache miss caused lut size far exceeding pim working memory capacity introduces design pim aware linear kernel optimization intra row inter row reordering enabled enhance lut lookup locality proposes model partitioning scheme minimize inter pim core communication kernel level benchmark reveal achieves throughput improvement increase energy efficiency gpu implementation compared quantization incurs time increase perplexity demonstrating minimal accuracy degradation moreover end end evaluation requires fewer alu operation tick per output token gpu baseline', 'rise device inference model llm rapidly escalating demand memory intensive operation edge device dram processing memory pim promising solution overcoming memory wall edge device require pim function compute unit memory device due limited memory capacity pim enabled memory complicates partition placement tensor dram bank pim operable manner notably highlight weight need accessible pim system chip soc processor weight used soc favorable gemm pim favorable gemv operation necessitates different memory mapping pim soc processor leading potential layout cost switching two address challenge propose facil flexible dram address mapping solution efficiently place tensor dram pim operation allowing soc processor access data contiguous virtual address facil consists memory controller assigns different dram address mapping page offset bit huge page user level library determines appropriate dram address mapping demonstrate enabling layout free access pim soc processor benefit inference device task including short conversation code autocompletion reducing first token respectively soc pim baseline']"
8,15,8_extraction_narrative_entity_model,"['extraction', 'narrative', 'entity', 'model', 'text', 'data', 'document', 'information', 'domain', 'phrase']","['story component namely event participant relation present narrative text different domain journalism medicine finance law automatic extraction narrative element encompasses several nlp task named entity recognition semantic role labeling event extraction temporal inference text story python easy modular library support narrative extraction visualization pipeline package contains array narrative extraction tool used separately sequence toolkit end user process free text english portuguese obtain formal representation like standard annotation file formal logical representation toolkit also enables narrative visualization message sequence chart msc graph bubble diagram making useful visualize transform human annotated narrative package combine shelf custom tool easily patched replacing existing component extended new visualization includes experimental module narrative element effectiveness assessment therefore also valuable asset researcher developing solution narrative extraction evaluate baseline component present result main annotator embedded package datasets english portuguese also compare result extraction narrative element robust model', 'expression level information extraction challenging natural processing nlp aim retrieve crucial semantic information linguistic document however lack date data resource accelerating expression level information extraction particularly chinese financial technology field address gap introduce fintech key phrase human annotated key phrase dataset chinese financial technology domain dataset comprises paragraph along annotated domain specific key phrase extract publicly released report chinese management discussion analysis cmd renowned chinese data service platform cnrds filter report related technology technology key phrase annotated following pre defined philosophy guideline ensure annotation quality order better understand limitation challenge purposed dataset conducted comprehensive noise evaluation experiment fintech key phrase including annotation consistency assessment absolute annotation quality evaluation demonstrate usefulness released fintech key phrase retrieving valuable information chinese financial technology field evaluate significance several superior information retrieval system representative baseline report corresponding performance statistic additionally applied chatgpt text augmentation fintech key phrase dataset extensive comparative experiment demonstrate augmented fintech key phrase dataset significantly improved coverage accuracy extracting key phrase finance tech domain believe dataset facilitate scientific exploration chinese financial technology field made fintech key phrase dataset experimental code adopted baseline accessible github http github com albert jin fintech key phrase encourage newcomer participate financial tech domain information retrieval developed series tool including open website corresponding real information retrieval apis', 'entity relation extraction aim extract triple unstructured semi structured text data applied field including medicine finance graph construction intelligent question answering traditional entity relation extraction requires amount labeled data consumes lot labor trained model lack generalization ability difficult migrate field zero shot entity relation extraction relief dependence labeled data traditional unlabeled text data zero shot entity relation extraction strong domain adaptability challenging practical recent work model show model effectively complete downstream task natural instruction good generalization ability inspired explore model information extraction due randomness model generation introduce entity relation extraction guide model output data specified format help obtain structured data propose three stage extraction framework decomposing entity relation extraction task stage conducted form question answer reduce complexity extraction evaluated triple extraction performance model three self built test datasets different field experimental showed proposed achieved impressive performance zero shot entity relation extraction surpassing comparison model multiple metric proving effectiveness domain adaptability proposed']"
